카드_고유키,카드설명
카드_37,"모든 백화점, 대형마트, 주유소에서&lt /5% 청구할인"
카드_38,"전통시장에서 장볼때 최대 5%까지,&lt/대중교통비 5% 할인되는 알뜰한 카드!"
카드_39,세라젬 제품 구매하고&ltBR기분좋은 청구할인 혜택까지!
카드_40,프뢰벨 제품 장기할부 구매 시 &lt 월 최대 2만원 청구할인 혜택!
카드_41,더배스트 렌탈 및 할부구매하고&lt 최대 2만원 할인받자!
카드_42,당신의 똑똑한 렌탈 라이프
카드_43,BS 렌탈요금 할인서비스에 다양한 생활 혜택까지 누리자!
카드_44,코웨이 렌탈요금 자동이체하고&lt최대 2만원 할인받자!
카드_45,청호나이스 렌탈요금 자동이체하고 최대 2만원 할인받자!
카드_46,"슬림할부로 청호나이스제품 부담없이 구매하고, 다양한 생활 혜택까지 누리자!"
카드_47,"슬림할부로 바디프랜드 제품 부담없이 구매하고, 다양한 생활 혜택까지 누리자!"
카드_48,"슬림할부로 쿠쿠제품 부담없이 구매하고, 다양한 생활 혜택까지 누리자!"
카드_49,"현대렌탈케어 렌탈요금 할인에, 다양한 생활 혜택까지 누리자!"
카드_50,슬림할부로 코웨이제품 부담없이 구매하고 다양한 생활할인 혜택까지 누리자!
카드_51,대림케어 렌탈요금 할인에 다양한 생활 혜택까지!
카드_52,실속만점 생활할인은 기본!&ltBR렌탈요금/상조회비까지 할인받자 !
카드_53,실속있게 생활할인은 기본&lt /&ltem바디프랜드 렌탈요금 할인까지!&lt/em
카드_54,실속만점 생활할인은 기본!&lt이제 렌탈요금 까지 할인 받자!
카드_55,"GS25할인 5%, T머니 10% 할인 서비스"
카드_56,2자녀 이상을 둔 가정에게 드리는&lt최대 특혜를 누리세요~!
카드_57,유가보조금 받고!&lt GS칼텍스 주유 할인까지!
카드_58,유가보조금 + 정유3사 주유할인을&lt 카드의정석 화물복지카드 한장으로!!
카드_59,전월실적 조건 없이 S-OIL 화물차우대주유소에서 주유 시 리터당 최대 50원 현장할인 제공
카드_60,전월실적 조건 없이 SK 내트럭플러스에서 주유 시 리터당 최대 50원 할인
카드_61,S-OIL 주유소 리터당 120~400원 할인 서비스에 다양한 생활 &lt/ 혜택까지 누리자!
카드_62,"LPG 화물차 유가보조금 지원, E1 충전소 결제금액 1천원당 오렌지포인트 최대 30P 적립, 다양한 생활서비스 제공"
카드_63,SK주유소 리터당 120~400원 할인에&lt / 다양한 생활 혜택까지 누리자!
카드_64,Auto 금융 할인 및 자동차 특화서비스에 다양한 생활 할인 혜택까지
카드_65,자동차 연비를 높이는 새로운 답을 제시하다!
카드_66,"에코라서 가능한 혜택, 에코로 쌓는 더 많은 포인트"
카드_67,건설기계 사업자의 성공 인프라!!
카드_68,할인혜택으로 레저의 즐거움이&lt/더욱 커진다!
카드_69,LG U+ 통신요금 할인!
카드_70,너겟 통신요금 할인!
카드_71,SKT 통신요금 할인!
카드_72,KT 통신요금 할인!
카드_73,KT 통신요금 할인!
카드_74,LG U+ 통신요금 할인!
카드_75,U+알뜰폰 통신요금 할인 혜택!
카드_76,KT 알뜰폰 통신요금 할인!
카드_77,통신요금 할인에 다양한 할인 혜택까지!
카드_78,"유가보조금 + 정유3사 주유할인, &lt우리 썸화물복지카드 단 한장으로!"
카드_79,"국방 가족을 위한 특별한 혜택을 담은 카드!&lt /군복지시설, 생활밀착형 할인 등 다양한 할인을 누리세요!"
카드_80,"군인연금수급자임을 증명하는 신분증 기능에 전국 군복지시설 및 5대 대표업종 청구할인, 버스요금 지원서비스"
카드_81,국민연금수급자임을 증명하는 신분증 기능에 버스요금 매달 최대 5천원 지원과 다양한 카드 혜택 제공
카드_82,환경부 에코 프로젝트~ 그린을 꺼내세요!!
카드_83,환경부 에코 프로젝트~ 그린을 꺼내세요!!
카드_84,전국 어디서나 대중교통 10% 할인
카드_85,패밀리니까! 더 받는다! 생활에 필요한 다양한 실속 할인혜택
카드_86,패밀리니까! 더 받는다! 생활에 필요한 다양한 실속 할인혜택
카드_87,국기원 단증에 카드를 결합한 태권도인 특화 상품
카드_88,세례명카드 만들고 자동기부도 하고 다양한 혜택도 누리면서 적립된 포인트는 교구에 기부됩니다.
카드_89,"적립된 상환용 적립 포인트를 자녀의 학자금 대출 원리금 상환에 활용하며, 기타 다양한 혜택을 누리세요~"
카드_90,"우리은행 주거래고객님을 위한 특별한 혜택! &lt /국내 모든 가맹점에서 0.5~1.5% 적립,&lt/6개월마다 15,000점 보너스 적립!"
카드_91,"우리은행 주거래고객님을 위한 특별한 혜택! &lt /국내 모든 가맹점에서 0.5~1.5% 적립,&lt/6개월마다 15,000점 보너스 적립!"
카드_92,카드 한 장으로 신용카드 혜택과 &lt/한화그룹 계열사 서비스를 한번에 해결하자!
카드_93,카드 한 장으로 신용카드 혜택과 &lt/한화그룹 계열사 서비스를 한번에 해결하자!
카드_94,회사에 반했다! kt 그룹이 좋아졌다!
카드_95,"모든 백화점, 대형마트, 병원, 서점에서 우리V카드만 있으면 365일 할인!"
카드_96,"woori 할인서비스, 패밀리레스토랑 할인"
카드_97,"항공 마일리지 적립서비스, 주유, 놀이공원 할인"
카드_98,한국플랫폼 프리랜서 노동공제회 제휴 체크카드
카드_99,우리카드와 L.POINT가 만나다!
카드_100,프리미엄의 혜택을 체크카드에 그대로!
카드_101,한국장애인고용공단 제휴카드
카드_102,쿠키처럼 달콤한 혜택이 쏟아진다!
카드_103,쿠키처럼 달콤한 혜택이 쏟아진다!
카드_104,사용할 때 마다 커지는 적립혜택!
카드_105,우리카드×광복회
카드_106,"UniMile 하나로 6대 항공사 모두 OK!, 카드의 정석 UniMile CHECK"
카드_107,적립 포인트로 학자금 대출 원리금 상환에 활용도하고 다양한 혜택을 누리세요~
카드_108,에너지도 Eco하고 카드사용도 Eco하는 에코마일리지우리체크카드!!
카드_109,"출근은 편하게, 교통비는 가볍게! &lt 마일리지로 더 알뜰하게~"
카드_110,아파트 관리비 혜택을 담다!
카드_111,외국인 고객을 위한 맞춤형 혜택!
카드_112,"CJ ONE 멤버십 혜택은 기본, 프리미엄의 혜택을 체크카드에 그대로!"
카드_113,학생증 한장으로 다양한 캐시백과 멀티 멤버십 혜택까지!
카드_114,편의점 커피 학원 할인과 함께 신나는 대학생활!
카드_115,현대백화점ㆍ현대아울렛ㆍ진에어 할인부터 각종 생활할인 혜택까지!
카드_116,해외 이용 수수료 면제 및 이용금액 1~2% 캐시백
카드_117,"[가득한 체크] 협약된 교구, 성당, 세례명 등이 인자된 나만의 성당체크카드를 발급받아 가득한 혜택을 누리세요"
카드_118,군인연금수급자임을 증명하는 신분증 기능에 버스요금 지원서비스 및 다양한 생활밀착형 서비스 제공
카드_119,카드 한 장으로 체크카드 혜택과 &lt/한화그룹 계열사 서비스를 한번에 해결하자!
카드_120,국민연금수급자임을 증명하는 신분증 기능에 버스요금 매달 최대 5천원과 다양한 카드 혜택 제공
카드_121,"GS25할인 5%, T머니 10% 할인 서비스"
카드_122,"GS25에서 5% 할인 , T머니 10% 할인"
카드_123,"스타벅스, 커피빈 20%, GS25할인 5%, T-money 충전시 10% 할인"
카드_124,이젠 유가보조금도 우리카드!
카드_125,2자녀 이상을 둔 가정에게 드리는&lt최대 특혜를 누리세요~!
카드_126,"국내에서는 원화로, 해외에서는 외화로 바로 출금!"
카드_127,해외에서 현금이 필요할때? 난 저렴하게 찾는다! 해외ATM 이용 특화 카드!
카드_128,Special Benefits~ Enjoy 우리V외국인체크카드! 외국인을 위한 실용적인 서비스가 가득
카드_129,해외에서도 국내에서도 국제학생증 체크카드
카드_130,
카드_131,
카드_132,
카드_133,
카드_134,
카드_135,
카드_136,
카드_137,
카드_138,
카드_139,
카드_140,
카드_141,
카드_142,
카드_143,
카드_144,
카드_145,
카드_146,
카드_147,
카드_148,
카드_149,
카드_150,
카드_151,
카드_152,
카드_153,
카드_154,
카드_155,
카드_156,
카드_157,
카드_158,
카드_159,
카드_160,
카드_161,
카드_162,
카드_163,
카드_164,
카드_165,
카드_166,
카드_167,
카드_168,
카드_169,
카드_170,
카드_171,Color your Spring
카드_172,도토리들을 위해 준비했어
카드_173,Global citizen in the universe
카드_174,전가맹점 혜택은 기본! 내 취향 가득 담은 나만의 플레이리스트
카드_175,전가맹점 혜택은 기본! 내 취향 가득 담은 나만의 플레이리스트
카드_176,반복되는 일상부터 나를 위한 소비까지! 데이터로 찾은 내 소비의 핏
카드_177,만 12세 이상 미성년 가족 신용카드
카드_178,EVerywhere we drive
카드_179,이츠 모아 태산! 먹을수록(Eats) 혜택을 더 모아(More)
카드_180,이츠 모아 태산! 먹을수록(Eats) 혜택을 더 모아(More)
카드_181,This card will make you smile
카드_182,Catch me in the moment!
카드_183,Smart한 구독 Life!
카드_184,나의 슬기로운 Pay 생활!
카드_185,"알뜰폰 요금, 더 알뜰히 모으자!"
카드_186,All Things for Fans
카드_187,속 깊은 주유혜택
카드_188,수소차 충전요금 10% 할인
카드_189,"탈 수록 즐겁고, 탈 수록 득이 되는"
카드_190,1.5배 높은 적립! 해외는 더블 적립!
카드_191,어떤 차를 구매하든 MY CAR는 신한카드 MY CAR로~
카드_192,정부에서 지원하는 국가바우처를 한장의 카드로 이용하세요!
카드_193,개인사업자를 위한 IKEA 할인 카드!
카드_194,"신나는 나의 Home Life, YaY(예~이!)"
카드_195,만 12세 이상 미성년 가족 신용카드
카드_196,모든 주유소 포인트 적립에 생활 맞춤 혜택까지!
카드_197,1천원당 대한항공 1마일 적립 항공/면세/해외 2배 적립!
카드_198,"제주혜택 한데 모아, 모두 모아"
카드_199,너도 살고 나도 사는 우리동네 배달앱 땡겨요
카드_200,속 깊은 디지털 라이프
카드_201,속 깊은 혜택을 더한!
카드_202,생활쇼핑 가맹점 최대 15% 할인!
카드_203,내가 직접 선택하는 나만의 카드
카드_204,자동으로 챙겨주는 나만의 카드
카드_205,간편결제(Pay) 서비스는 Deep On!
카드_206,한번으로 누려라!
카드_207,한번으로 누려라!
카드_208,할인율을 내 마음대로!
카드_209,매일매일 가는 길마다 신한카드 교통 Big 할인!
카드_210,Essential For Every Lifestyle
카드_211,잘 가는 곳 1~5% 적립 어디서나 0.2~2% 적립
카드_212,전월 실적 없이 0.7% 캐시백!
카드_213,언제 어디서나 특별한 쇼핑의 순간!
카드_214,생활비 혜택을 가득 담은 서민금융지원카드
카드_215,부모마음을 잘 아는 카드!
카드_216,나의 금융파트너! 신한 주거래 패키지로 더 많은 혜택을!
카드_217,"항공 마일리지에 포인트, 프리미엄 서비스까지!"
카드_218,맹모카드지교! 우리아이 레슨 받는 곳이라면 어디든지
카드_219,전월 실적 없이 1% 캐시백!
카드_220,"선택 서비스 10개 중 5개, 5% 할인"
카드_221,"할인, 적립에 플래티늄 서비스까지!"
카드_222,Shine카드의 빛나는 혜택
카드_223,"부담없는 연회비로, 교체없이 10년동안 쭈욱!"
카드_224,"부담없는 연회비로, 교체없이 10년동안 쭈욱!"
카드_225,속 깊은 주유혜택
카드_226,한장의 카드로 6대 홈쇼핑 6% 할인!
카드_227,"주는 행복, 받는 기쁨! 아름다운 당신의 아름다운 카드"
카드_228,보육료 지원금 결제와 할인서비스 혜택까지!!
카드_229,550만 오너를 위한 맞춤혜택 제공!
카드_230,최대 2% LPG 충전 혜택과 생활 할인을 동시에!
카드_231,속 깊은 당신을 위한 경차사랑 Life
카드_232,"세무지원, 사업경비 포인트 적립 혜택까지!!"
카드_233,전기차 LIFE를 누려보세요. 전기차 충전요금 30~50% 할인!
카드_234,"세무지원, 사업경비 포인트 적립 혜택까지!!"
카드_235,매일매일 가는 길마다 신한카드 교통 Big 할인!
카드_236,사업자를 위한 부가세 서비스!
카드_237,주택임대료 할인과 생활 할인 중 선택하여 발급받으세요!
카드_238,국세청 임직원 복지 증진을 위한 복지카드
카드_239,국세청 임직원 복지 증진을 위한 복지카드
카드_240,복지포인트도 생활비 할인도 하나의 카드로!
카드_241,복지포인트도 적립혜택도 하나의 카드로!
카드_242,LPG 할인 + 무임교통카드 + 고속도로 통행료 감면 서비스 제공
카드_243,LPG 할인 + 무임교통카드 + 고속도로 통행료 감면 서비스 제공
카드_244,Shopping에 교원증을 더하다
카드_245,Registered Nurse CARD
카드_246,"앞서가는 여성의 필수품, Lady카드!"
카드_247,더 이상의 카드는 없다. 신개념의 주유 서비스를 경험해 보세요!
카드_248,가볍고 편해지는 발걸음! 대중교통 요금 10%할인
카드_249,현장에서 바로 받는 주유 할인 혜택!
카드_250,화물운전자복지 카드로 빠르고 편리하게 유가보조금 지원 받으세요 !
카드_251,SK에너지 2MORE 화물복지카드로 빠르고 편리하게 유가보조금 지원 받으세요 !
카드_252,알뜰주유소 화물복지카드로 빠르고 편리하게 유가보조금 지원 받으세요 !
카드_253,HD현대오일뱅크 2UP 화물복지카드로 빠르고 편리하게 유가보조금 지원 받으세요 !
카드_254,S-OIL 2UP 화물복지카드로 빠르고 편리하게 유가보조금 지원 받으세요 !
카드_255,"사업경비 결제하고 포인트도 쌓고! 주유, 병원/약국, 대중교통 할인까지!"
카드_256,편리한 유가보조금 지원과 강화된 포인트 적립 혜택까지!
카드_257,S.Sing 씽 화물복지카드로 빠르고 편리하게 유가보조금 지원 받으세요 !
카드_258,내 사업의 비용절감을 위한 완벽한 카드!
카드_259,교직원공제회원의 알뜰소비생활 필수카드!
카드_260,"한수원 복지포인트 이용에 할인, 포인트 적립까지!"
카드_261,화물 유가보조금+주유할인 서비스까지!
카드_262,부산시의 다자녀가정 지원 가족사랑 카드
카드_263,
카드_264,iPhone for Life
카드_265,Time For us to Shine
카드_266,SPOTV NOW를 즐기는 방법!
카드_267,CJ ONE 포인트 매니아를 위한 특권!
카드_268,알파포인트로 누리는 새로운 투자경험!
카드_269,KT 휴대폰 할부에 통신요금 할인까지!
카드_270,신세계사이먼 프리미엄 아울렛 최대 10% 결제일 할인
카드_271,신세계사이먼 프리미엄 아울렛 최대 10% 결제일 할인
카드_272,Kakaopay Pick
카드_273,건프라와 피규어를 마음껏!
카드_274,"보험료 할인과 함께 의료, 헬스, 생활편의 할인 서비스를 한번에"
카드_275,LG트윈스 홈경기 응원하러 야구장 갈땐~ 필수템!
카드_276,T 멤버십 고객의 필수템!
카드_277,아이와 엄마를 위한 현명한 선택
카드_278,프레딧 멤버십을 위한 완벽한 혜택!
카드_279,"30% 할인, 사이즈업 쿠폰에 대중교통 생활혜택까지!"
카드_280,제주신화월드 객실 최대 15% 할인
카드_281,쓸 때마다 쌓이는 GS&POINT!
카드_282,"모두의 구독 유니버스, T우주"
카드_283,스마트하게 IKEA를 즐기는 방법!
카드_284,오아시스 새벽배송 15% 할인!
카드_285,뷰티포인트 적립 혜택을 누리세요
카드_286,맛있는 생활의 필수 혜택 카드
카드_287,간편 결제의 새로운 기준 L.PAY!
카드_288,"LG헬로비전 요금 (케이블방송, 인터넷, 알뜰폰-헬로모바일 등) 할인"
카드_289,실적조건과 적립한도에 제한이 없는 네이버페이 포인트 특화카드
카드_290,맞춤형 복지포인트 사용 및 iMND Light의 산뜻한 혜택을 누리세요
카드_291,최대 60개월 장기 할부와 매월 최대 1만 5천원 캐시백 혜택까지
카드_292,"새로운 모빌리티, 더 커진 금융 혜택!"
카드_293,홈플러스 포인트 1.2%적립(점외 이용시 0.5%적립)
카드_294,쉽고 편한 모바일 쇼핑 세상 편한 11PAY 결제!
카드_295,"신세계백화점 멤버십 혜택, 신세계백화점 5% 할인!"
카드_296,신세계백화점 멤버십 혜택 항공마일리지 기본/추가 적립
카드_297,신세계백화점 최대 7% 결제일 할인
카드_298,신세계사이먼 프리미엄 아울렛 최대 10% 결제일 할인
카드_299,"신세계백화점 멤버십 혜택, 신세계백화점 5% 할인"
카드_300,스마트 가격! 맛있는 더본 브랜드는 신한카드와 함께!
카드_301,모바일 Tmoney App 이용 시 20%할인
카드_302,전가맹점 최대 0.6% 적립 및 전구단 야구할인
카드_303,월 최대 1만 5천원 통신요금 할인 및 다양한 제휴 혜택!
카드_304,SOCAR 결제 시 30% 할인
카드_305,전자책 서점 리디북스 20% 할인!
카드_306,LG전자 가전제품 알뜰하게 구매하자!
카드_307,전월실적 조건 없이 어디서든 적립되는 온라인 쇼핑
카드_308,"전월실적, 적립한도 없는 네이버페이 포인트적립혜택을 누려보세요"
카드_309,"다이소 30%, 생활 10%, 영화 20% 할인"
카드_310,메가마트 포인트 1.5% 적립(점외 이용 시 0.5% 적립)
카드_311,레일리지 쌓고 SRT 이용시 혜택 받으세요!
카드_312,"차곡차곡 항공 포인트 쌓고, 내맘대로 쉽게 꺼내 쓰자!"
카드_313,속 깊은 주유혜택
카드_314,멋을 아는 남성의 선택!
카드_315,안심에 할인을 더하다!
카드_316,LF SQUARE 매장 할인카드
카드_317,"LG U+ 통신요금(전화, 인터넷, TV 등) 할인"
카드_318,"Gold할부 이용하고, 통신요금 할인 받으세요"
카드_319,월 최대 4만 2천원 통신요금 할인
카드_320,U+ 통신요금에 할인을 Plus!
카드_321,KT 통신요금에 할인을 Plus!
카드_322,라이트할부로 통신요금도 라이트하게!
카드_323,이제 홈플러스에서 최대 7% 적립 받으세요!
카드_324,탑보너스포인트 최대 2.5% 적립(점외 이용 시 0.5% 적립)
카드_325,탑보너스포인트 최대 2.0% 적립(점외 이용 시 0.5% 적립)
카드_326,LG베스트샵 장기할부카드로 가전제품 알뜰하게 구입하세요!
카드_327,귀여운 라이언 대박 예감
카드_328,귀여운 춘식이 대박 예감
카드_329,너! 내 동료가 돼라!
카드_330,이 세상에 고칠 수 없는 병은 없으니깐!
카드_331,맹구가 카드 안에 들어왔다!
카드_332,오수가 카드 안에 들어왔다!
카드_333,오밀조밀 깨댕이가 카드에 들어왔다!
카드_334,안녕 내이름은 눙눙이야
카드_335,너만의 포켓몬을 Pick 해!
카드_336,너만의 포켓몬을 Pick 해!
카드_337,여행 갈때도 월리를 찾아라!
카드_338,미니언즈가 시원하게 적립해드립니다!
카드_339,도토리들을 위해 준비했어
카드_340,E들은 이 카드를 픽하지!
카드_341,혜택도 내성적일 거란 편견은 버려~
카드_342,카드에 박힌 나.. 쫌 귀여울수도?
카드_343,끝이 없는 할인 구독 서비스
카드_344,국내/해외 판타스틱한 혜택에 신한플레이 캐시백까지!
카드_345,카드는 원래 꺾이지 않는 거 알지?
카드_346,무적 LG! 끝까지 TWINS! 직관 할인과 실생활 혜택까지
카드_347,내 얼굴이 담긴 카드를 가지고 싶지 않니?
카드_348,전 가맹점에서 적립되는 GS&POINT!
카드_349,Color your Spring
카드_350,전가맹점 혜택은 기본! 내 취향 가득 담은 나만의 플레이리스트
카드_351,전가맹점 혜택은 기본! 내 취향 가득 담은 나만의 플레이리스트
카드_352,간편결제와 생활편의 영역까지!
카드_353,간편결제와 생활편의 영역까지!
카드_354,대중교통과 생활편의 영역까지!
카드_355,대중교통과 생활편의 영역까지!
카드_356,너도 살고 나도 사는 우리동네 배달앱 땡겨요
카드_357,너도 살고 나도 사는 우리동네 배달앱 땡겨요
카드_358,"20% 캐시백, 사이즈업 쿠폰에 OTT 캐시백 혜택까지!"
카드_359,체크카드도 뷰티포인트 적립 혜택을!
카드_360,핀크머니 0.2% 적립(월 최대1만원)
카드_361,전월실적 조건없이 사용횟수별 최대 2만원 적립
카드_362,간편 결제의 새로운 기준 L.PAY!
카드_363,유가보조금 지원과 포인트 적립 혜택까지!
카드_364,정부에서 지원하는 국가바우처를 한장의 카드로 이용하세요!
카드_365,"쓸수록 쌓이는 포인트, 신한 플러스 멤버십 체크카드로 더 많은 혜택을!"
카드_366,카드 덕후가 연구 했어요. 버릴 혜택이 없는 체크카드!
카드_367,Global+ 서비스에 신한투자증권 우대서비스까지~!
카드_368,대한항공 마일리지 적립 체크카드
카드_369,아시아나항공 마일리지 적립 체크카드
카드_370,해외 특화 카드
카드_371,"어디서나 0.2% 적립, 선택한 곳에서 5배 적립!"
카드_372,"어디서나 0.2% 적립, 선택한 곳에서 5배 적립!"
카드_373,부모와 자녀를 위한 스마트한 용돈관리 시작
카드_374,고속도로요금 결제를 편리하게!
카드_375,국내/해외 판타스틱한 혜택에 신한플레이 캐시백까지!
카드_376,속 깊은 디지털 라이프!
카드_377,나의 금융파트너! 신한 주거래 패키지로 더 많은 혜택을!
카드_378,고속도로요금 결제를 편리하게!
카드_379,미니언즈가 다 드림!
카드_380,할인+적립+신한금융 서비스까지 한 번에!
카드_381,카카오페이로 간편하게 결제하고 혜택까지 플러스
카드_382,할인+적립+신한금융 서비스까지 한 번에!
카드_383,할인+적립+신한금융 서비스까지 한 번에!
카드_384,"복잡한 혜택의 서비스는 그만! 대중교통,커피,쇼핑 중 내가 원하는 하나의 서비스에 ALL-in"
카드_385,할인+적립+신한금융 서비스까지 한 번에!
카드_386,홈플러스 포인트 0.6%적립(점외 이용시 0.1%적립)
카드_387,"보육비는 물론, 부모님에게 힘이 되는 혜택까지"
카드_388,신세계백화점의 혜택을 다 모은 맞춤형 체크카드
카드_389,스마트한 가격! 맛잇는 더본 브랜드는 신한카드와 함께!
카드_390,전기차 LIFE를 누려보세요. 전기차 충전요금 30% 할인!
카드_391,"쉽고 편한 모바일 쇼핑, 세상 편한 11PAY 결제!"
카드_392,한국야쿠르트와 GS리테일의 특별한 혜택!
카드_393,전월실적 조건 없이 어디서든 적립되는 온라인 쇼핑
카드_394,SOCAR 결제시 10% 할인
카드_395,Love 서비스와 전월 실적에 따른 CMA계좌 추가 금리 제공
카드_396,주유 추가할인 혜택을 더한 경차만의 특권
카드_397,요기요 구매금액 15% 할인 커피/편의점 할인까지
카드_398,이제 오프라인에서도 네이버페이로~
카드_399,해외 직구는 물론 모든 해외 쇼핑을 위한 똑똑한 카드!
카드_400,전가맹점 최대 0.2% 적립 및 전구단 야구할인
카드_401,CJ ONE 멤버십 기능에 신한 체크카드만의 특별한 혜택까지!
카드_402,"다이소 20%, 생활 10%, 영화 20% 캐시백"
카드_403,쿠팡 이용금액 3% 적립에 스타벅스 이용금액 캐시백까지!
카드_404,전자책 서점 리디북스 10% 캐시백
카드_405,속 깊은 디지털 라이프!
카드_406,속 깊은 디지털 라이프!
카드_407,꿈을 키우는 카드!
카드_408,"해외에서는 달러(USD)로, 국내에서는 원화로 Change!"
카드_409,난치병 아이들의 꿈을 이뤄주는 기부카드
카드_410,국내/해외 판타스틱한 혜택에 FAN페이 캐시백까지!
카드_411,속 깊은 디지털 라이프!
카드_412,"KT 통신요금 5천원, GS25 5%, CGV 10% 캐시백"
카드_413,화물운전자복지 체크카드로 빠르고 편리하게 유가보조금 지원 받으세요 !
카드_414,LPG 할인 + 무임교통카드 + 고속도로 통행료 감면 서비스 제공
카드_415,LPG 할인 + 무임교통카드 + 고속도로 통행료 감면 서비스 제공
카드_416,S.Sing 씽 화물복지 체크카드로 빠르고 편리하게 유가보조금 지원 받으세요!
카드_417,알뜰주유소 화물복지 체크카드로 빠르고 편리하게 유가보조금 지원 받으세요 !
카드_418,가볍고 편해지는 발걸음~ 대중교통 요금 10% 할인
카드_419,메가마트 포인트 0.7% 적립(점외 이용 시 0.1% 적립)
카드_420,스포츠 강좌 이용을 위한 지원금 카드
카드_421,
카드_422,청소년도 후불교통으로 대중교통을 스마트하고 편리하게 이용하세요!
카드_423,"대중교통, 커피, 쇼핑 중 내가 원하는 하나의 서비스에 ALL-in"
카드_424,성남시민을 위한 성남사랑상품권 연동 카드
카드_425,탑보너스포인트 최대 1.2% 적립(점외 이용 시 0.1% 적립)
카드_426,"복잡한 혜택의 서비스는 그만! 대중교통, 커피, 쇼핑 중 내가 원하는 하나의 서비스에 All-in!"
카드_427,부산시의 다자녀가정 지원 가족사랑 체크카드
카드_428,교원증과 On 체크의 만남
카드_429,삼성증권을 이용하시는 고객님의 혜택!!
카드_430,ID카드와 Hey-Young 체크를 한 장에
카드_431,ID카드와 Hey-Young 체크를 한 장에
카드_432,롯데마트&MAXX 최대 10% 할인
카드_433,결제 방식도 내 취향에 맞게 나를 위한 스마트 라이프
카드_434,카드 하나로 누리는 디지털 쇼핑 라이프
카드_435,모든 가맹점 1.2% 할인
카드_436,부산/울산/경남 지역 특화 할인
카드_437,"음식점, 배달앱, 커피 60% 할인"
카드_438,롯데계열사 7% 롤라머니 적립 카드
카드_439,"주유, 영화, 스트리밍 60% 할인"
카드_440,온·오프라인 쇼핑 10% 풍성한 할인
카드_441,국내외 가맹점 1.2%~2.0% 결제일 할인
카드_442,실적 조건없이 온·오프라인 전 가맹점 캐시백
카드_443,"모든 가맹점 최대 1%, 라이프 가맹점 최대 50% 캐시백"
카드_444,국내외 가맹점 1.2%~2.0% 결제일 할인
카드_445,카카오페이지 이용 시 5% 캐시백
카드_446,L.POINT 적립 0.5%~3% 적립
카드_447,웰릭스 렌탈 이용 시 결제일 할인 또는 캐시백!
카드_448,지난달 실적 30만원 이상 시 1.0% ~ 1.5% 적립율
카드_449,월 최대 30만 교보문고 통합포인트 적립
카드_450,롯데체크카드
카드_451,롯데포인트 플러스 체크카드
카드_452,아이러브부산
카드_453,사업자를 위한 할인 카드
카드_454,롯데슈퍼에서 최고 10% 캐쉬백
카드_455,롯데체크카드VISA
