대출_고유키,금융상품명,상품특징,대출신청자격,상품설명
대출_10,동반성장 지원자금,정부의 대·중소기업 동반성장 정책에 부응대기업 우량 협력사 유치를 통한 영업기반 확충,○ (지원대상) 대기업 협력 중소중견*기업 * 동반성장자금을 조성한 대기업이 별도 제출한 협력업체 리스트상 기업 * 중견기업 중 직전 회계년도 매출액 5천억원 미만인 기업 (「대중소기업간 공정거래협약 이행 평가 등에 관한 기준(하도급분야)」 제3조(협약의 당사자) 반영) * 지원대상에 관한 추가 상세사항은 가까운 영업점 앞 문의,정부의 대·중소기업 동반성장 정책에 부응대기업 우량 협력사 유치를 통한 영업기반 확충
대출_11,Start-up 지원자금,기술력 또는 아이디어·서비스가 우수한 창업초기(7년이내) 벤처·중소기업 조기 발굴 및 자금조달 애로 해소,"○ (지원대상) 다음 중 하나에 해당하는 기업의 혁신성장 정책금융협의회 선정 「혁신성장 공동기준」 품목 관련 분야 * 「혁신성장 공동기준」은 혁신성장정책금융센터 홈페이지(www.newgi.org)에서 확인 가능 - 창업 7년 이내 벤처중소기업 - 신용보증기금(이하 &ldquo신보&rdquo)가 선정한 혁신아이콘 기업 및 과학기술정보통신부가 선정한 ICT GROWTH 기업 * 단, 신보 협약 선정기업의 경우 산업구분 제한 없음○ (자금용도) 설비투자, R&D, 운영자금 등 * 대출대상에 관한 추가 상세사항은 가까운 영업점 앞 문의",기술력 또는 아이디어·서비스가 우수한 창업초기(7년이내) 벤처·중소기업 조기 발굴 및 자금조달 애로 해소
대출_12,일자리기업 지원자금_일자리창출기업 지원자금,신규 고용창출 및 지속적 고용기반 강화 도모,"○ (지원대상) 다음 각 호의 중소중견기업 및 대기업 대상 * SPC(유동화 등) 사용 불가 - 일자리창출 우수기업 - 국가 및 지방자치단체 선정 일자리창출 우수기업 - 세제상 고용확대기업 - 국내 복귀 해외진출기업 - 직업계고 현장실습 참여 기업 중 시도교육청이 선정한 현장실습 선도기업○ (자금용도) 설비투자, R&D, 운영자금 등 * 지원대상에 관한 추가 상세사항은 가까운 영업점 앞 문의",신규 고용창출 및 지속적 고용기반 강화 도모
대출_13,예적금담보대출,"당행 예적금, 산금채, 환매채 등을 거래하는 고객이 이를 담보로 취급하는 대출상품","당행 예적금 등을 보유한 개인고객 - 담보대출 취급가능 수신상품 * 당행 예금, 적금, 산금채, 환매채 * 변동금리 수신상품 중 재형저축, 주거래플러스 적금, KDB dream Jump-up 정기예금 - 담보대출 취급불가 수신상품 * 변동금리 수신상품, 입출금이 자유로운 예금, 외화예금, CD(양도성 예금증서), 신탁, 집합투자증권, 당행외의 질권설정지급정지상속 등 사고등록 계좌 단, 예적금(만기재예치 제외)의 신규 가입일을 포함하여 2영업일이내에는 대출이 불가합니다. 인터넷을 통해 대출 신청시, 동일 담보에 대한 대출 신청은 1일 1회만 가능","당행 예적금, 산금채, 환매채 등을 거래하는 고객이 이를 담보로 취급하는 대출상품"
대출_14,신탁대출,"본인 예·적금 및 신탁수익권을 담보로 즉시 대출을 받을 수 있는 상품(단, 인터넷뱅킹 대출은 신탁수익권 담보만 가능)","KDB산업은행에 신탁, 유가증권 및 예적금 등에 가입한 개인 대출거래 제한 대상 - 대출신청일 현재 신용판단정보가 등록되어있는 고객 - 대출신청일 현재 대출금을 연체중인 고객 - KDB산업은행에 손해를 끼친 고객 - 그 외 은행이 정한 사유로 대출을 취급하지 않거나 제한 가능","본인 예·적금 및 신탁수익권을 담보로 즉시 대출을 받을 수 있는 상품(단, 인터넷뱅킹 대출은 신탁수익권 담보만 가능)"
대출_15,중소·중견 지원자금,중소·중견기업 등의 설비투자 촉진을 통한 경제활성화 도모우량거래처 유치 및 우량 영업자산 확충,"○ (지원대상) 중소기업, 중견기업 및 기타기업(공공기관 제외) * 중소중견기업에 해당하는 SPC포함○ (자금용도) 설비투자(공장 신ㆍ증축 및 토지ㆍ건물ㆍ기계구입 등), 운영자금 등 * 주식 인수 등 지분투자 또는 영업 양수도를 위한 자금지원 제외 * 지원대상에 관한 추가 상세사항은 가까운 영업점 앞 문의",중소·중견기업 등의 설비투자 촉진을 통한 경제활성화 도모우량거래처 유치 및 우량 영업자산 확충
대출_16,KDB 탄소스프레드_저탄소생태계,新유망 저탄소 녹색산업 육성으로 국가 탄소중립 이행 지원,"○ 지원분야 - 저탄소생태계 육성과 관련된 한국형 녹색분류체계(K-Taxonomy)상 18개 녹색경제활동* * 대출대상에 관한 추가 상세사항은 가까운 영업점 앞 문의○ 자금용도 : 설비투자, R&D투자, M&A, 영업양수도 등",新유망 저탄소 녹색산업 육성으로 국가 탄소중립 이행 지원
대출_17,"혁신기업 국가대표 1,000 지원자금","정부 선정 「혁신기업 국가대표 1,000」 대상기업에 대한 효율적 금융지원","○ (지원대상) 혁신기업 국가대표 1,000 선정기업○ (자금용도) 설비투자, R&D, 운영자금 등 * 주식 인수 등 지분투자 또는 영업 양수도를 위한 자금지원 제외 * 대출대상에 관한 추가 상세사항은 가까운 영업점 앞 문의","정부 선정 「혁신기업 국가대표 1,000」 대상기업에 대한 효율적 금융지원"
대출_18,데이터 기반 혁신기업 특별자금,데이터 기반 사업모델을 활용하여 신시장·신산업 창출에 기여하는 혁신기업에 대한 맞춤형 금융지원,"○ (지원대상) 데이터, 앱을 담보로 제공하는 적격대상 기업○ (자금용도) 시설투자(공장 신ㆍ증축 및 토지ㆍ건물ㆍ기계구입 등), 운영자금 * 지원대상에 관한 추가 상세사항은 가까운 영업점 앞 문의",데이터 기반 사업모델을 활용하여 신시장·신산업 창출에 기여하는 혁신기업에 대한 맞춤형 금융지원
대출_19,대한민국 대전환 특별자금,디지털·그린 경제의 필수 인프라 구축 및 관련산업 육성을 위한 금융지원 강화를 통해 조속한 경기침체 극복 및 경제 패러다임 전환 도모,"○ (지원대상) 디지털전환녹색금융 관련 아래에 해당하는 기업 혁신기업국가대표 1000 선정기업 또는「혁신성장 공동기준 품목」 중 &lsquo산업대전환 지원&rsquo 품목* 영위 기업 * 녹색금융 79개 품목 / 디지털전환 108개 품목 * 「혁신성장 공동기준」은 혁신성장정책금융센터 홈페이지(www.newgi.org)에서 확인 가능 Data, AI, 클라우드 등을 활용한 디지털 전환 추진기업의 비대면화 대응 역량 강화 및 인프라 구축 등을 위한 지원자금 스마트공장 구축고도화 등 스마트제조 수요기업 및 공급기업 스마트그린산단 입주기업의 공장부지 구입 등 설비투자 지원○ (자금용도) 설비투자, R&D 투자, 운영자금(중소중견 전용) 등 * 대출대상에 관한 추가 상세사항은 가까운 영업점 앞 문의",디지털·그린 경제의 필수 인프라 구축 및 관련산업 육성을 위한 금융지원 강화를 통해 조속한 경기침체 극복 및 경제 패러다임 전환 도모
대출_20,스마트공장 지원자금,"AI, IoT 등 기술의 연결 및 산업간 경계 파괴 가속화와 유연 생산 체제로의 전환 지원, 스마트제조 수요기업 고도화 촉진","○ (지원대상) 중소중견기업, 기타기업(공공기관 제외) * SPC(유동화 등) 사용 불가○ (자금용도) 다음에 해당하는 자금 스마트공장 신축 또는 구입 혁신성장 품목 관련 공장 신축 또는 구입 스마트공장 구축을 위한 설비구입, 개보수, 증축 스마트제조 공급기업 생산시설 신축 또는 구입 스마트제조 공급기업 설비구입, 개보수, 증축 스마트제조 공급기업 R&D자금 * 대출대상에 관한 추가 상세사항은 가까운 영업점 앞 문의 유의사항 - (토지구입) 공장부지 구입을 주목적으로 하는 자금지원 불가* &lsquo공장부지분양대금 지원자금&rsquo 지원대상 외 토지를 구입하려는 목적으로 사용 금지 등 - (담보취득) 자금용도 ,,의 경우, 계획사업 관련 공장부지 및 건물에 대해 선순위 담보제공 필수* 공장부지는 최초 기표 전 선순위 담보취득 필요. 다만, 당행 내부규정에 의거 선취담보로 인정되는 토지분양대금반환청구권을 취득한 경우 공장부지에 대해 선순위 담보취득 한 것으로 인정","AI, IoT 등 기술의 연결 및 산업간 경계 파괴 가속화와 유연 생산 체제로의 전환 지원, 스마트제조 수요기업 고도화 촉진"
대출_21,초격차산업지원 프로그램_원전 산업 지원,원전 기자재업체의 생산성 향상 및 선도형 원전산업 고도화 구축을 위한 설비투자 등 지원,"○ (지원대상) 원전산업 영위기업○ (자금용도) 설비투자, R&D투자, M&A, IP구입 및 운영자금 등 * 지원대상에 관한 추가 상세사항은 가까운 영업점 앞 문의",원전 기자재업체의 생산성 향상 및 선도형 원전산업 고도화 구축을 위한 설비투자 등 지원
대출_22,소재·부품·장비산업 지원자금,소재·부품·장비산업의 국산화·자립화 및 경쟁력 강화를 위한 효율적인 금융지원,"○ (지원대상) 소재부품장비산업 영위 기업 * 「소재부품장비산업 경쟁력강화를 위한 특별조치법 시행규칙」 [별표1]○ (자금용도) 설비투자, R&D, 운영자금(중소중견기업, 계열대기업 전용) 등 * 주식인수 등 지분투자 또는 영업 양수도를 위한 자금지원 제외 * 대출대상에 관한 추가 상세사항은 가까운 영업점 앞 문의",소재·부품·장비산업의 국산화·자립화 및 경쟁력 강화를 위한 효율적인 금융지원
대출_23,설비투자촉진 프로그램,국내 설비투자 관련 기업 투자애로 해소 및 국내 산업의 성장동력 확충을 통한 복합위기 극복으로 경제 재도약 모멘텀 확보 지원,"○ (지원대상) 국내 소재 기업○ (자금용도) 아래에 해당하는 신ㆍ증설 시설투자 (생산 인프라 구축) 공장 신설이전증설 (생산 효율화) 노후기계기구의 교체, 생산설비 자동화, 공정개선 등 생산성 향상을 위한 설비투자 (기술개발도입) 핵심기술 국산화, 신기술 연구개발, 기술사업화 등",국내 설비투자 관련 기업 투자애로 해소 및 국내 산업의 성장동력 확충을 통한 복합위기 극복으로 경제 재도약 모멘텀 확보 지원
대출_24,상생경영 우수기업 특별운영자금,원자재 가격 인상에 따른 중소기업의 경영 부담을 완화하기 위해 납품대금연동제를 실시하는 기업 대상 특별자금 지원,○ 지원대상 자율적으로 납품대금연동제*를 실시하는 기업 * (납품대금연동제) 수탁기업(수급사업자)이 위탁기업(원사업자)에 납품하는 물품 등의 주요 원재료 가격이 일정수준 이상 변동하는 경우 그 변동분에 연동하여 납품대금(하도급대금)을 조정하는 내용이 포함된 서면 약정을 체결하는 제도 - 납품(하도급)대금 계약에 부수하여 중기부공정위의 &lsquo납품대금 연동 특별약정서&rsquo 또는 &lsquo하도급대금 연동계약서&rsquo를 통해 원재료 가격 변동에 따른 납품대금 연동계약을 체결한 기업(위탁기업 또는 원사업자) 중기부공정위 선정 「납품대금 연동제 동행기업」○ 자금용도 : 운영자금 * 대출대상에 관한 추가 상세사항은 가까운 영업점 앞 문의,원자재 가격 인상에 따른 중소기업의 경영 부담을 완화하기 위해 납품대금연동제를 실시하는 기업 대상 특별자금 지원
대출_25,신성장경쟁력강화 지원자금,"기술력 등 성장잠재력은 있으나, 매출성장 및 수익성 개선 지연으로 자금조달이 어려운 중소기업 앞 혁신역량 기반 마련 지원","○ (지원대상) 다음 중 하나에 해당하는 중소기업 (매출성장 지연)「혁신성장 공동기준」테마 중 에너지, 환경지속가능, 전기전자 분야 영위 (수익성개선 지연)「혁신성장 공동기준」테마 중 센서측정, 지식서비스 분야 영위○ (자금용도) 설비투자, R&D, 운영자금 등 * 주식인수 등 지분투자 또는 영업 양수도를 위한 자금지원 제외 * 대출대상에 관한 추가 상세사항은 가까운 영업점 앞 문의","기술력 등 성장잠재력은 있으나, 매출성장 및 수익성 개선 지연으로 자금조달이 어려운 중소기업 앞 혁신역량 기반 마련 지원"
대출_26,초격차산업지원 프로그램_바이오헬스 산업 지원,글로벌 6대 제약·바이오 강국 실현과 데이터·디지털 기술을 활용한 바이오헬스 신시장 창출 및 선도 지원,"○ (지원대상) 제약바이오헬스케어 산업 영위기업○ (자금용도) 설비투자, R&D투자, M&A, IP구입 및 운영자금 등",글로벌 6대 제약·바이오 강국 실현과 데이터·디지털 기술을 활용한 바이오헬스 신시장 창출 및 선도 지원
대출_27,사업구조전환 지원자금,"기업의 과잉공급 해소, 신사업분야 진출 촉진 및 주력산업의 고부가가치화 등을 통한 선제적 사업재편 지원","○ (지원대상) 사업재편* 추진기업 - 과잉공급 해소, 생산성 향상 및 신산업 진출 등을 위한 자발적 사업재편 추진 또는 기업활력법에 따른 사업재편 선정기업 (단, 기업신용위험평가 C, D 등급 제외) * 사업재편 : 아래의 가목(&lsquo사업구조 변경&rsquo), 나목(&lsquo사업혁신 추진&rsquo) 모두 충족\t가. 합병,분할,주식의 이전취득소유,회사의 설립 등 사업의 전부 또는 일부의 구조 변경\t나. 사업의 전부 또는 일부의 분야나 방식을 변경하여 새로운 사업에 진출하거나 신기술을 도입하는 등 사업의 혁신을 추진하는 활동 - 사업구조 변경 관련 지분 또는 영업(자산) 인수 소요자금 - 사업구조 변경 기업의 사업혁신 추진 관련 소요자금○ (자금용도) 설비투자, R&D투자, M&A, 영업양수도, 운영자금 등 * 대출대상에 관한 추가 상세사항은 가까운 영업점 앞 문의","기업의 과잉공급 해소, 신사업분야 진출 촉진 및 주력산업의 고부가가치화 등을 통한 선제적 사업재편 지원"
대출_28,미래핵심산업 지원자금,경제안보 기여 및 미래 먹거리 확보를 위해 정부의 12대 국가전략기술 분야 (관련 혁신성장 공동기준 품목 포함) 영위 기업 지원,"○ (지원대상) 다음 중 하나와 관련된 산업을 영위하는 중소기업 - 반도체디스플레이, 이차전지, 첨단 이동수단, 차세대 원자력, 첨단 바이오, 우주항공해양, 수소, 사이버보안, 인공지능, 차세대 통신, 첨단로봇제조, 양자○ (자금용도) 설비투자, R&D, 운영자금 등 * 주식인수 등 지분투자 또는 영업 양수도를 위한 자금지원 제외 * 대출대상에 관한 추가 상세사항은 가까운 영업점 앞 문의",경제안보 기여 및 미래 먹거리 확보를 위해 정부의 12대 국가전략기술 분야 (관련 혁신성장 공동기준 품목 포함) 영위 기업 지원
대출_29,초격차산업지원 프로그램_이차전지 산업 지원,정부정책에 부응하고 국내 이차전지산업 영위기업의 시설투자 지원 등을 통한 이차전지 분야 강대국으로 도약,"○ (지원대상) 이차전지산업 영위기업○ (자금용도) 설비투자, R&D, M&A, IP구입 및 운영자금 등 * 지원대상에 관한 추가 상세사항은 가까운 영업점 앞 문의",정부정책에 부응하고 국내 이차전지산업 영위기업의 시설투자 지원 등을 통한 이차전지 분야 강대국으로 도약
대출_30,수출경쟁력 강화 지원자금,세계 경기둔화 및 美-中 갈등 영향 등으로 인한 수출실적 부진 등 경영애로가 있는 기업의 수출경쟁력 강화 지원,"○ (지원대상) 다음 중 하나가 확인되는 중소중견기업 최근 2년간 수출실적이 있는 기업 신규 수출 판로 확보 확인이 가능한 기업 중소벤처기업부 등 정부 부처가 선정한 수출기업 한국무역보험공사의 수출보험, 환율변동보험 가입 기업 * 수출기업 확인방법 예시 : 수출실적의 확인 및 증명 발급신청서 등 증명서 발급, 신규 수출계약서 등○ (자금용도) 설비투자, R&D, 운영자금 등 * 주식인수 등 지분투자 또는 영업 양수도를 위한 자금지원 제외 * 대출대상에 관한 추가 상세사항은 가까운 영업점 앞 문의",세계 경기둔화 및 美-中 갈등 영향 등으로 인한 수출실적 부진 등 경영애로가 있는 기업의 수출경쟁력 강화 지원
대출_31,초격차산업지원 프로그램_디스플레이 산업 지원,"디스플레이 산업의 초격차 기술확보, 공급망 구축, 신시장 창출 등을 위한 정부정책에 부응하고 우리 기업의 세계시장 1위 탈환 지원","○ (지원대상) 디스플레이 산업 영위기업○ (자금용도) 설비투자, R&D투자, M&A, IP구입 및 운영자금 등 * 지원대상에 관한 추가 상세사항은 가까운 영업점 앞 문의","디스플레이 산업의 초격차 기술확보, 공급망 구축, 신시장 창출 등을 위한 정부정책에 부응하고 우리 기업의 세계시장 1위 탈환 지원"
대출_32,친환경사회조성 자금,한국형 녹색분류체계(K-Taxonomy) 5개 환경목표 달성 지원 등을 통한 국가 탄소중립 이행 지원,"○ 지원분야 - 친환경사회조성과 관련된 한국형 녹색분류체계(K-Taxonomy)상 29개 녹색경제활동* * 대출대상에 관한 추가 상세사항은 가까운 영업점 앞 문의○ 자금용도 : 설비투자, R&D투자, M&A, 영업양수도 등",한국형 녹색분류체계(K-Taxonomy) 5개 환경목표 달성 지원 등을 통한 국가 탄소중립 이행 지원
대출_33,초격차산업지원 프로그램_반도체 산업 지원,글로벌 기술패권 경쟁 및 첨단산업 육성 경쟁에 대응하여 반도체 산업의 초격차기술 확보 및 유지를 위한 금융지원,"○ 지원대상 시스템 반도체 영위기업 반도체 관련 소재장비 기업 일괄공정을 수행하는 종합 반도체 기업 반도체 관련 산업분류코드 및 혁신품목 영위 기업○ (자금용도) 설비투자, R&D투자, M&A, IP구입 및 운영자금 등 * 지원대상에 관한 추가 상세사항은 가까운 영업점 앞 문의",글로벌 기술패권 경쟁 및 첨단산업 육성 경쟁에 대응하여 반도체 산업의 초격차기술 확보 및 유지를 위한 금융지원
대출_34,에너지전환 자금,"신재생에너지, 원자력 발전, 무탄소발전, 수소인프라 확충 등 에너지 전환 촉진을 통한 국가 탄소중립 이행 지원","○ 지원분야 - 에너지 전환(생산저장유통계통 분야 등)과 관련된 한국형 녹색분류체계상 32개 경제활동* * 대출대상에 관한 추가 상세사항은 가까운 영업점 앞 문의○ 자금용도 : 설비투자, R&D투자, M&A, 영업양수도 등","신재생에너지, 원자력 발전, 무탄소발전, 수소인프라 확충 등 에너지 전환 촉진을 통한 국가 탄소중립 이행 지원"
